TrainingRecordID,EmpID,TrainingDate,TrainingProgramName,TrainingPurpose,TrainingCategory,TrainingType,DeliveryMode,LocationCode,Trainer,TrainerGender,TrainingProvider,TrainingDurationDays,TrainingCostUSD,CompletionStatus,TrainingResult,AssessmentAttempts,FeedbackSubmitted,OverallSatisfactionScore,TrainerEvaluationScore,JobRelevanceScore,PersonalRelevanceScore,DigitalContentUsabilityScore
TRN-000013,3290,2001-04-22,Employee Onboarding,Mandatory,Onboarding,Internal,Self-paced Online,Online,,,Corporate Learning Platform,2,76.38,Completed,Not Applicable,,Yes,4,,4,4,5
TRN-000014,3290,2001-05-02,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,36.51,Completed,Failed,2.0,No,,,,,
TRN-000015,1386,2001-05-07,Employee Onboarding,Mandatory,Onboarding,Internal,In-person,US-MA-01,Internal Trainer 14,Male,Internal L&D,2,275.38,Completed,Not Applicable,,Yes,4,4,4,3,
TRN-000016,2804,2001-05-07,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,27.41,Completed,Passed,2.0,Yes,4,,3,4,4
TRN-000017,3290,2001-05-07,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,25.69,Incomplete,Not Taken,0.0,Yes,4,,3,4,4
TRN-000018,3862,2001-05-07,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,32.2,Completed,Passed,1.0,No,,,,,
TRN-000019,1552,2001-05-08,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,28.21,Completed,Passed,1.0,Yes,5,,4,4,3
TRN-000020,2804,2001-05-09,Equipment Operation,Job Required,Technical Skills,Internal,Self-paced Online,Online,,,Corporate Learning Platform,2,130.22,Completed,Failed,1.0,No,,,,,
TRN-000021,1552,2001-05-10,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,31.82,Incomplete,Not Taken,0.0,No,,,,,
TRN-000022,3234,2001-05-10,Employee Onboarding,Mandatory,Onboarding,Internal,Self-paced Online,Online,,,Corporate Learning Platform,2,78.05,Completed,Not Applicable,,Yes,4,,2,2,4
TRN-000023,3083,2001-05-16,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,33.95,Completed,Passed,1.0,Yes,3,,4,4,4
TRN-000024,3456,2001-05-16,Sales Excellence,Job Required,Customer Skills,Internal,Self-paced Online,Online,,,Corporate Learning Platform,2,125.14,Completed,Failed,3.0,Yes,4,,4,3,4
TRN-000025,3083,2001-05-19,Employee Onboarding,Mandatory,Onboarding,Internal,Self-paced Online,Online,,,Corporate Learning Platform,2,72.6,Cancelled,Not Applicable,,No,,,,,
TRN-000026,3373,2001-05-21,Employee Onboarding,Mandatory,Onboarding,Internal,Hybrid,US-MA-03,Internal Trainer 02,Male,Internal L&D,2,241.83,Incomplete,Not Applicable,,Yes,3,4,3,2,
TRN-000027,1386,2001-05-22,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,32.85,Completed,Passed,1.0,Yes,3,,2,3,
TRN-000028,3290,2001-05-22,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,37.72,Completed,Passed,2.0,Yes,2,,3,3,3
TRN-000029,3757,2001-05-23,Employee Onboarding,Mandatory,Onboarding,Internal,In-person,US-MA-02,Internal Trainer 09,Female,Internal L&D,2,321.09,Completed,Not Applicable,,Yes,4,4,3,2,
TRN-000030,1552,2001-05-25,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,32.2,Incomplete,Not Taken,0.0,Yes,2,,2,3,4
TRN-000031,3862,2001-05-25,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,30.21,Cancelled,Not Taken,,No,,,,,
TRN-000032,3083,2001-05-26,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,25.22,Incomplete,Failed,1.0,No,,,,,
TRN-000033,1386,2001-05-30,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,26.19,Completed,Passed,1.0,Yes,5,,4,3,3
TRN-000034,2804,2001-06-01,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,36.79,Completed,Passed,1.0,Yes,4,,,3,3
TRN-000035,3234,2001-06-01,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,29.83,Completed,Passed,1.0,Yes,3,,4,4,4
TRN-000036,1041,2001-06-04,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,31.63,Completed,Passed,1.0,Yes,5,,4,4,4
TRN-000037,1041,2001-06-07,Employee Onboarding,Mandatory,Onboarding,External,Hybrid,EXT-CHI-01,Claire Green,Female,CustomerFirst Training,2,377.93,Completed,Not Applicable,,No,,,,,
TRN-000038,3757,2001-06-08,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,29.37,Completed,Passed,1.0,Yes,5,,3,4,5
TRN-000039,3862,2001-06-08,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,36.61,Completed,Failed,3.0,No,,,,,
TRN-000040,2304,2001-06-09,Strategic Leadership,Job Required,Leadership Development,External,In-person,EXT-DAL-01,Thomas Scott,Male,ProjectPro Academy,2,986.51,Completed,Not Applicable,,No,,,,,
TRN-000041,3083,2001-06-09,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,32.9,Completed,Passed,1.0,Yes,4,,5,3,3
TRN-000042,3234,2001-06-11,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,30.25,Completed,Passed,1.0,Yes,3,,4,2,4
TRN-000043,2804,2001-06-13,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,37.76,Completed,Passed,1.0,Yes,2,,3,3,3
TRN-000044,3373,2001-06-13,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,30.67,Completed,Passed,1.0,Yes,4,,3,4,5
TRN-000045,1697,2001-06-14,Employee Onboarding,Mandatory,Onboarding,Internal,Self-paced Online,Online,,,Corporate Learning Platform,2,77.25,Cancelled,Not Applicable,,No,,,,,
TRN-000046,3869,2001-06-16,Employee Onboarding,Mandatory,Onboarding,Internal,In-person,US-MA-01,Internal Trainer 18,Female,Internal L&D,2,327.82,Completed,Not Applicable,,Yes,4,4,,3,
TRN-000047,1771,2001-06-17,Employee Onboarding,Mandatory,Onboarding,Internal,Self-paced Online,Online,,,Corporate Learning Platform,2,64.25,Incomplete,Not Applicable,,No,,,,,
TRN-000048,3869,2001-06-18,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,31.96,Completed,Passed,2.0,Yes,4,,4,4,5
TRN-000049,1041,2001-06-20,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,26.98,Completed,Passed,1.0,Yes,3,,4,2,5
TRN-000050,3862,2001-06-20,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,32.05,Completed,Passed,1.0,Yes,5,,3,4,3
TRN-000051,1771,2001-06-21,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,32.63,Completed,Passed,1.0,Yes,4,,3,2,4
TRN-000052,3456,2001-06-21,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,30.95,Incomplete,Failed,2.0,No,,,,,
TRN-000053,1733,2001-06-25,Employee Onboarding,Mandatory,Onboarding,Internal,Hybrid,US-MA-01,Internal Trainer 12,Female,Internal L&D,2,238.72,Completed,Not Applicable,,No,,,,,
TRN-000054,3456,2001-06-25,Employee Onboarding,Mandatory,Onboarding,Internal,In-person,US-KY-01,Internal Trainer 15,Female,Internal L&D,2,311.39,Completed,Not Applicable,,Yes,5,4,4,3,
TRN-000055,1386,2001-06-26,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,31.73,Completed,Passed,2.0,Yes,3,,4,4,2
TRN-000056,3757,2001-06-30,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,30.0,Completed,Passed,1.0,Yes,5,,3,2,5
TRN-000057,3373,2001-07-03,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,28.33,Completed,Passed,1.0,Yes,4,,4,3,4
TRN-000058,3083,2001-07-04,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,31.91,Incomplete,Failed,1.0,No,,,,,
TRN-000059,3373,2001-07-05,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,32.82,Completed,Passed,1.0,Yes,3,,3,3,3
TRN-000060,3456,2001-07-05,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,29.53,Completed,Passed,1.0,Yes,5,,4,4,4
TRN-000061,3234,2001-07-06,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,30.34,Completed,Passed,1.0,Yes,4,,3,3,3
TRN-000062,3234,2001-07-06,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,34.68,Completed,Passed,2.0,Yes,5,,4,4,3
TRN-000063,3757,2001-07-08,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,36.07,Cancelled,Not Taken,,No,,,,,
TRN-000064,1737,2001-07-09,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,34.71,Cancelled,Not Taken,,No,,,,,
TRN-000065,1041,2001-07-11,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,39.39,Completed,Passed,2.0,No,,,,,
TRN-000066,1582,2001-07-12,Employee Onboarding,Mandatory,Onboarding,Internal,Hybrid,US-MA-02,Internal Trainer 03,Female,Internal L&D,2,245.96,Incomplete,Not Applicable,,No,,,,,
TRN-000067,3456,2001-07-12,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,32.23,Incomplete,Not Taken,0.0,Yes,4,,4,3,4
TRN-000068,1697,2001-07-19,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,28.62,Completed,Passed,1.0,Yes,5,,3,4,4
TRN-000069,3869,2001-07-19,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,25.51,Completed,Passed,1.0,Yes,4,,4,3,4
TRN-000070,1386,2001-07-20,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,30.67,Incomplete,Failed,2.0,Yes,5,,5,4,4
TRN-000071,1737,2001-07-21,Employee Onboarding,Mandatory,Onboarding,Internal,Self-paced Online,Online,,,Corporate Learning Platform,2,70.63,Incomplete,Not Applicable,,Yes,4,,3,3,4
TRN-000072,1771,2001-07-23,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,31.99,Incomplete,Failed,3.0,No,,,,,
TRN-000073,1733,2001-07-24,Quality Management,Job Required,Operational Excellence,External,In-person,EXT-CHI-01,Thomas Scott,Male,ProjectPro Academy,2,666.65,Completed,Not Applicable,,Yes,4,4,4,4,
TRN-000074,1733,2001-07-24,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,31.47,Completed,Passed,1.0,Yes,5,,5,3,5
TRN-000075,1582,2001-07-25,Equipment Operation,Job Required,Technical Skills,Internal,In-person,US-MA-02,Internal Trainer 12,Female,Internal L&D,2,515.82,Completed,Passed,1.0,Yes,4,5,4,4,
TRN-000076,1697,2001-07-30,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,26.26,Completed,Passed,2.0,Yes,4,,5,3,4
TRN-000077,3456,2001-08-02,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,36.23,Completed,Passed,2.0,Yes,5,,3,2,4
TRN-000078,1582,2001-08-03,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,33.34,Completed,Passed,1.0,Yes,5,,3,3,5
TRN-000079,1733,2001-08-05,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,25.79,Completed,Passed,1.0,No,,,,,
TRN-000080,3757,2001-08-05,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,32.38,Completed,Passed,1.0,Yes,3,,2,3,4
TRN-000081,1771,2001-08-06,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,39.08,Completed,Passed,1.0,Yes,5,,4,4,4
TRN-000082,3869,2001-08-07,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,34.12,Completed,Passed,1.0,Yes,3,,4,3,3
TRN-000083,1582,2001-08-08,Technical Skills,Job Required,Technical Skills,Internal,In-person,US-MA-02,Internal Trainer 13,Male,Internal L&D,2,558.25,Completed,Passed,2.0,Yes,4,5,4,3,
TRN-000084,1737,2001-08-08,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,25.83,Completed,Passed,2.0,No,,,,,
TRN-000085,3373,2001-08-09,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,36.31,Completed,Passed,1.0,No,,,,,
TRN-000086,1041,2001-08-10,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,35.13,Completed,Passed,1.0,Yes,3,,4,4,4
TRN-000087,1733,2001-08-10,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,35.26,Completed,Passed,2.0,Yes,4,,5,3,4
TRN-000088,3083,2001-08-10,Technical Skills,Job Required,Technical Skills,Internal,In-person,US-MA-01,Internal Trainer 15,Female,Internal L&D,2,597.99,Completed,Passed,1.0,Yes,5,4,3,3,
TRN-000089,1582,2001-08-15,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,31.0,Cancelled,Not Taken,,No,,,,,
TRN-000090,2166,2001-08-16,Employee Onboarding,Mandatory,Onboarding,Internal,Self-paced Online,Online,,,Corporate Learning Platform,2,74.63,Completed,Not Applicable,,Yes,4,,3,3,4
TRN-000091,2949,2001-08-17,Employee Onboarding,Mandatory,Onboarding,Internal,Hybrid,US-MA-02,Internal Trainer 04,Male,Internal L&D,2,221.21,Completed,Not Applicable,,Yes,5,4,3,3,
TRN-000092,2949,2001-08-20,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,29.98,Completed,Passed,2.0,Yes,4,,5,3,4
TRN-000093,2949,2001-08-20,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,30.71,Completed,Passed,1.0,Yes,5,,5,2,5
TRN-000094,1771,2001-08-21,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,32.59,Completed,Passed,1.0,Yes,4,,3,4,3
TRN-000095,1697,2001-08-22,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,38.3,Incomplete,Failed,1.0,No,,,,,
TRN-000096,3456,2001-08-22,Leadership Development,Job Required,Leadership Development,External,Hybrid,EXT-BOS-01,Helen Ward,Female,SafeWorks Institute,2,705.38,Completed,Not Applicable,,Yes,4,3,5,4,
TRN-000097,1737,2001-08-23,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,38.24,Completed,Failed,3.0,Yes,4,,4,4,4
TRN-000098,3373,2001-08-23,Communication Skills,Job Required,Professional Skills,Internal,Hybrid,US-MA-03,Internal Trainer 17,Male,Internal L&D,1,138.92,Completed,Not Applicable,,Yes,5,4,4,4,5
TRN-000099,3869,2001-08-23,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,31.13,Completed,Passed,1.0,Yes,4,,3,3,4
TRN-000100,3235,2001-08-29,Employee Onboarding,Mandatory,Onboarding,Internal,Live Online,Online,Internal Trainer 10,Male,Internal L&D,2,173.66,Completed,Not Applicable,,Yes,5,4,4,2,
TRN-000101,1697,2001-08-30,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,29.81,Incomplete,Failed,1.0,No,,,,,
TRN-000102,2166,2001-08-30,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,32.66,Completed,Passed,1.0,Yes,4,,3,3,3
TRN-000103,3604,2001-08-31,Employee Onboarding,Mandatory,Onboarding,Internal,In-person,US-MA-02,Internal Trainer 18,Female,Internal L&D,2,298.72,Incomplete,Not Applicable,,No,,,,,
TRN-000104,1737,2001-09-05,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,33.4,Incomplete,Failed,2.0,No,,,,,
TRN-000105,1733,2001-09-08,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,31.62,Completed,Passed,1.0,Yes,5,,3,3,5
TRN-000106,1771,2001-09-08,Quality Management,Job Required,Operational Excellence,Internal,In-person,US-MA-03,Internal Trainer 04,Male,Internal L&D,2,487.16,Cancelled,Not Applicable,,No,,,,,
TRN-000107,1433,2001-09-09,Employee Onboarding,Mandatory,Onboarding,Internal,In-person,US-MA-03,Internal Trainer 01,Male,Internal L&D,2,322.16,Completed,Not Applicable,,Yes,5,4,4,4,
TRN-000108,1433,2001-09-09,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,27.97,Completed,Passed,1.0,Yes,5,,3,2,4
TRN-000109,3235,2001-09-10,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,30.28,Completed,Passed,2.0,No,,,,,
TRN-000110,1582,2001-09-11,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,36.08,Completed,Passed,1.0,Yes,3,,4,3,3
TRN-000111,1582,2001-09-11,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,38.05,Completed,Passed,3.0,Yes,4,,4,,4
TRN-000112,2166,2001-09-14,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,30.2,Completed,Passed,1.0,Yes,3,,3,4,3
TRN-000113,3235,2001-09-14,Equipment Operation,Job Required,Technical Skills,External,Hybrid,EXT-NYC-01,David Hall,Male,CustomerFirst Training,2,648.35,Cancelled,Not Taken,,No,,,,,
TRN-000114,3948,2001-09-15,Employee Onboarding,Mandatory,Onboarding,Internal,In-person,US-MA-01,Internal Trainer 04,Male,Internal L&D,2,323.49,Completed,Not Applicable,,Yes,5,5,4,4,
TRN-000115,3235,2001-09-19,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,26.76,Completed,Passed,1.0,Yes,4,,4,3,5
TRN-000116,3862,2001-09-19,Secure Coding,Job Required,Information Security,Internal,Live Online,Online,Internal Trainer 11,Male,Internal L&D,2,316.89,Completed,Passed,2.0,No,,,,,
TRN-000117,1433,2001-09-20,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,26.33,Completed,Passed,3.0,Yes,4,,4,2,3
TRN-000118,2949,2001-09-20,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,33.66,Completed,Passed,1.0,No,,,,,
TRN-000119,3948,2001-09-24,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,29.87,Completed,Passed,1.0,Yes,4,,4,2,4
TRN-000120,1780,2001-09-28,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,28.27,Completed,Passed,1.0,No,,,,,
TRN-000121,2949,2001-09-28,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,31.31,Incomplete,Failed,3.0,No,,,,,
TRN-000122,3604,2001-09-28,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,33.63,Completed,Passed,1.0,Yes,5,,4,3,5
TRN-000123,3604,2001-10-01,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,25.69,Completed,Passed,1.0,Yes,4,,3,4,4
TRN-000124,3834,2001-10-04,Employee Onboarding,Mandatory,Onboarding,Internal,In-person,US-MA-03,Internal Trainer 07,Male,Internal L&D,2,302.43,Completed,Not Applicable,,Yes,3,5,4,3,
TRN-000125,1780,2001-10-09,Employee Onboarding,Mandatory,Onboarding,Internal,Self-paced Online,Online,,,Corporate Learning Platform,2,79.15,Completed,Not Applicable,,Yes,5,,3,3,5
TRN-000126,2166,2001-10-09,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,36.57,Completed,Passed,1.0,Yes,3,,2,2,2
TRN-000127,2804,2001-10-10,Quality Management,Job Required,Operational Excellence,External,In-person,EXT-BOS-01,Emma Reed,Female,NorthStar Learning,3,1171.83,Completed,Not Applicable,,Yes,4,5,3,4,
TRN-000128,1041,2001-10-13,Secure Coding,Job Required,Information Security,Internal,In-person,US-MA-01,Internal Trainer 15,Female,Internal L&D,2,570.22,Completed,Passed,1.0,Yes,4,5,3,4,
TRN-000129,1306,2001-10-14,Quality Management,Job Required,Operational Excellence,Internal,Live Online,Online,Internal Trainer 09,Female,Internal L&D,2,245.08,Completed,Not Applicable,,Yes,5,4,5,3,
TRN-000130,2166,2001-10-15,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,34.81,Completed,Failed,2.0,Yes,3,,4,3,3
TRN-000131,3948,2001-10-17,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,25.91,Completed,Passed,2.0,Yes,2,,3,3,4
TRN-000132,3948,2001-10-19,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,31.27,Completed,Failed,1.0,Yes,2,,4,4,3
TRN-000133,1306,2001-10-22,Employee Onboarding,Mandatory,Onboarding,Internal,In-person,US-MA-02,Internal Trainer 14,Male,Internal L&D,2,312.29,Completed,Not Applicable,,Yes,3,4,4,1,
TRN-000134,1433,2001-10-22,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,33.92,Completed,Passed,1.0,Yes,4,,3,4,4
TRN-000135,1780,2001-10-22,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,30.75,Completed,Passed,1.0,Yes,4,,3,3,5
TRN-000136,3235,2001-10-22,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,39.29,Completed,Failed,1.0,Yes,4,,4,4,
TRN-000137,3834,2001-10-22,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,29.15,Completed,Passed,1.0,Yes,5,,4,4,5
TRN-000138,1552,2001-10-24,Technical Skills,Job Required,Technical Skills,Internal,Self-paced Online,Online,,,Corporate Learning Platform,2,128.36,Completed,Passed,1.0,Yes,4,,5,,3
TRN-000139,1983,2001-10-29,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,29.65,Completed,Passed,1.0,Yes,5,,4,3,5
TRN-000140,2949,2001-10-29,Quality Management,Job Required,Operational Excellence,Internal,In-person,US-MA-02,Internal Trainer 09,Female,Internal L&D,2,496.15,Incomplete,Not Applicable,,Yes,4,4,3,4,
TRN-000141,3604,2001-10-29,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,35.29,Incomplete,Failed,2.0,No,,,,,
