ResponseID,EmpID,SurveyWaveID,SurveyLaunchDate,SurveyDate,EngagementScore,SatisfactionScore,WorkLifeBalanceScore
RESP-000157,2117,2003-H2,2003-09-01,2003-09-05,4,5,5
RESP-000158,2335,2003-H2,2003-09-01,2003-09-01,4,4,4
RESP-000159,3456,2003-H2,2003-09-01,2003-09-12,4,4,4
RESP-000160,2745,2003-H2,2003-09-01,2003-09-12,4,5,5
RESP-000161,2823,2003-H2,2003-09-01,2003-09-06,4,4,4
RESP-000162,3397,2003-H2,2003-09-01,2003-09-03,5,4,5
RESP-000163,2322,2003-H2,2003-09-01,2003-09-02,3,4,4
RESP-000164,1357,2003-H2,2003-09-01,2003-09-14,3,3,3
RESP-000165,3060,2003-H2,2003-09-01,2003-09-07,4,4,4
RESP-000166,2046,2003-H2,2003-09-01,2003-09-06,4,5,3
RESP-000167,3935,2003-H2,2003-09-01,2003-09-13,4,4,4
RESP-000168,2560,2003-H2,2003-09-01,2003-09-03,5,5,4
RESP-000169,2506,2003-H2,2003-09-01,2003-09-06,3,5,4
RESP-000170,3309,2003-H2,2003-09-01,2003-09-13,4,4,4
RESP-000171,2251,2003-H2,2003-09-01,2003-09-12,4,4,4
RESP-000172,2238,2003-H2,2003-09-01,2003-09-04,4,4,4
RESP-000173,3843,2003-H2,2003-09-01,2003-09-09,5,5,4
RESP-000174,3572,2003-H2,2003-09-01,2003-09-14,5,4,3
RESP-000175,1971,2003-H2,2003-09-01,2003-09-03,4,3,4
RESP-000176,1528,2003-H2,2003-09-01,2003-09-05,4,4,4
RESP-000177,3272,2003-H2,2003-09-01,2003-09-08,5,4,4
RESP-000178,1393,2003-H2,2003-09-01,2003-09-06,4,3,4
RESP-000179,3082,2003-H2,2003-09-01,2003-09-11,4,4,4
RESP-000180,3083,2003-H2,2003-09-01,2003-09-14,4,4,4
RESP-000181,1594,2003-H2,2003-09-01,2003-09-06,4,5,4
RESP-000182,3382,2003-H2,2003-09-01,2003-09-01,5,5,3
RESP-000183,2527,2003-H2,2003-09-01,2003-09-02,4,4,4
RESP-000184,1562,2003-H2,2003-09-01,2003-09-03,3,3,3
RESP-000185,2826,2003-H2,2003-09-01,2003-09-04,5,5,3
RESP-000186,3099,2003-H2,2003-09-01,2003-09-10,4,5,5
RESP-000187,1397,2003-H2,2003-09-01,2003-09-14,4,3,4
RESP-000188,1211,2003-H2,2003-09-01,2003-09-07,4,4,3
RESP-000189,1083,2003-H2,2003-09-01,2003-09-04,5,4,4
RESP-000190,3724,2003-H2,2003-09-01,2003-09-05,4,5,4
RESP-000191,2437,2003-H2,2003-09-01,2003-09-05,4,4,4
RESP-000192,3855,2003-H2,2003-09-01,2003-09-07,3,4,4
RESP-000193,1737,2003-H2,2003-09-01,2003-09-02,4,4,3
RESP-000194,3895,2003-H2,2003-09-01,2003-09-02,5,5,5
RESP-000195,3857,2003-H2,2003-09-01,2003-09-12,4,3,4
RESP-000196,3325,2003-H2,2003-09-01,2003-09-14,4,3,4
RESP-000197,1582,2003-H2,2003-09-01,2003-09-03,4,3,4
RESP-000198,2237,2003-H2,2003-09-01,2003-09-05,4,4,4
RESP-000199,2944,2003-H2,2003-09-01,2003-09-12,4,4,4
RESP-000200,1819,2003-H2,2003-09-01,2003-09-03,5,4,4
RESP-000201,2602,2003-H2,2003-09-01,2003-09-04,4,4,4
RESP-000202,1647,2003-H2,2003-09-01,2003-09-01,5,4,4
RESP-000203,1981,2003-H2,2003-09-01,2003-09-08,4,4,4
RESP-000204,3983,2003-H2,2003-09-01,2003-09-05,4,4,4
RESP-000205,1462,2003-H2,2003-09-01,2003-09-07,4,4,4
RESP-000206,3033,2003-H2,2003-09-01,2003-09-12,5,5,4
RESP-000207,2024,2003-H2,2003-09-01,2003-09-05,4,4,4
RESP-000208,3948,2003-H2,2003-09-01,2003-09-12,4,4,4
RESP-000209,3604,2003-H2,2003-09-01,2003-09-07,4,4,4
RESP-000210,1433,2003-H2,2003-09-01,2003-09-09,4,4,4
RESP-000211,3151,2003-H2,2003-09-01,2003-09-07,4,4,4
RESP-000212,2836,2003-H2,2003-09-01,2003-09-11,4,4,5
RESP-000213,1529,2003-H2,2003-09-01,2003-09-14,3,4,3
RESP-000214,3290,2003-H2,2003-09-01,2003-09-06,4,4,3
RESP-000215,2766,2003-H2,2003-09-01,2003-09-08,4,4,4
RESP-000216,3532,2003-H2,2003-09-01,2003-09-04,4,5,4
RESP-000217,2261,2003-H2,2003-09-01,2003-09-12,5,5,4
RESP-000218,1404,2003-H2,2003-09-01,2003-09-11,4,4,4
RESP-000219,1656,2003-H2,2003-09-01,2003-09-01,4,4,5
RESP-000220,2510,2003-H2,2003-09-01,2003-09-06,3,4,4
RESP-000221,3647,2003-H2,2003-09-01,2003-09-10,5,5,5
RESP-000222,1726,2003-H2,2003-09-01,2003-09-08,3,4,4
RESP-000223,2908,2003-H2,2003-09-01,2003-09-06,5,5,4
RESP-000224,1863,2003-H2,2003-09-01,2003-09-13,4,3,3
RESP-000225,1338,2003-H2,2003-09-01,2003-09-01,4,4,4
RESP-000226,2968,2003-H2,2003-09-01,2003-09-10,4,5,4
RESP-000227,2351,2003-H2,2003-09-01,2003-09-13,4,3,3
RESP-000228,1306,2003-H2,2003-09-01,2003-09-01,4,5,4
RESP-000229,3373,2003-H2,2003-09-01,2003-09-05,4,4,4
RESP-000230,3183,2003-H2,2003-09-01,2003-09-03,3,3,4
RESP-000231,2573,2003-H2,2003-09-01,2003-09-10,4,4,4
RESP-000232,2124,2003-H2,2003-09-01,2003-09-11,4,4,3
RESP-000233,1983,2003-H2,2003-09-01,2003-09-09,4,5,4
RESP-000234,3757,2003-H2,2003-09-01,2003-09-03,4,4,3
RESP-000235,3986,2003-H2,2003-09-01,2003-09-03,4,4,4
RESP-000236,2729,2003-H2,2003-09-01,2003-09-01,4,4,4
RESP-000237,1338,2004-H1,2004-03-01,2004-03-05,4,4,4
RESP-000238,3397,2004-H1,2004-03-01,2004-03-05,5,5,5
RESP-000239,3724,2004-H1,2004-03-01,2004-03-14,5,5,4
RESP-000240,1983,2004-H1,2004-03-01,2004-03-08,4,5,4
RESP-000241,2304,2004-H1,2004-03-01,2004-03-06,4,4,4
RESP-000242,3647,2004-H1,2004-03-01,2004-03-13,5,4,4
RESP-000243,3272,2004-H1,2004-03-01,2004-03-03,4,4,4
RESP-000244,2024,2004-H1,2004-03-01,2004-03-04,4,4,4
RESP-000245,3660,2004-H1,2004-03-01,2004-03-07,4,5,4
RESP-000246,3895,2004-H1,2004-03-01,2004-03-12,4,4,5
RESP-000247,1393,2004-H1,2004-03-01,2004-03-10,3,3,4
RESP-000248,2394,2004-H1,2004-03-01,2004-03-03,4,3,3
RESP-000249,1497,2004-H1,2004-03-01,2004-03-06,4,5,4
RESP-000250,2322,2004-H1,2004-03-01,2004-03-13,3,3,4
RESP-000251,2046,2004-H1,2004-03-01,2004-03-01,4,5,3
RESP-000252,3983,2004-H1,2004-03-01,2004-03-08,4,4,3
RESP-000253,1582,2004-H1,2004-03-01,2004-03-09,4,3,4
RESP-000254,2406,2004-H1,2004-03-01,2004-03-09,3,4,4
RESP-000255,3967,2004-H1,2004-03-01,2004-03-14,4,4,4
RESP-000256,2117,2004-H1,2004-03-01,2004-03-14,4,5,4
RESP-000257,1726,2004-H1,2004-03-01,2004-03-04,4,3,3
RESP-000258,3151,2004-H1,2004-03-01,2004-03-04,4,4,3
RESP-000259,3645,2004-H1,2004-03-01,2004-03-14,4,4,4
RESP-000260,3456,2004-H1,2004-03-01,2004-03-04,4,5,4
RESP-000261,1737,2004-H1,2004-03-01,2004-03-06,4,5,3
RESP-000262,3670,2004-H1,2004-03-01,2004-03-02,4,4,4
RESP-000263,2785,2004-H1,2004-03-01,2004-03-11,3,4,4
RESP-000264,1455,2004-H1,2004-03-01,2004-03-14,3,4,3
RESP-000265,3935,2004-H1,2004-03-01,2004-03-14,3,4,4
RESP-000266,2351,2004-H1,2004-03-01,2004-03-14,4,3,4
RESP-000267,2588,2004-H1,2004-03-01,2004-03-13,4,4,3
RESP-000268,2823,2004-H1,2004-03-01,2004-03-13,4,4,4
RESP-000269,2573,2004-H1,2004-03-01,2004-03-04,5,4,5
RESP-000270,1837,2004-H1,2004-03-01,2004-03-13,4,4,3
RESP-000271,2261,2004-H1,2004-03-01,2004-03-03,5,5,4
RESP-000272,1852,2004-H1,2004-03-01,2004-03-05,3,3,3
RESP-000273,3389,2004-H1,2004-03-01,2004-03-02,4,4,3
RESP-000274,2237,2004-H1,2004-03-01,2004-03-01,4,4,4
RESP-000275,1981,2004-H1,2004-03-01,2004-03-10,4,4,3
RESP-000276,3604,2004-H1,2004-03-01,2004-03-07,4,4,4
RESP-000277,3713,2004-H1,2004-03-01,2004-03-05,5,5,4
RESP-000278,3883,2004-H1,2004-03-01,2004-03-10,4,4,4
RESP-000279,2745,2004-H1,2004-03-01,2004-03-14,4,4,4
RESP-000280,3078,2004-H1,2004-03-01,2004-03-01,3,4,4
RESP-000281,1562,2004-H1,2004-03-01,2004-03-03,4,3,3
RESP-000282,1647,2004-H1,2004-03-01,2004-03-10,5,4,3
RESP-000283,2113,2004-H1,2004-03-01,2004-03-07,4,4,3
RESP-000284,3362,2004-H1,2004-03-01,2004-03-04,4,4,3
RESP-000285,1211,2004-H1,2004-03-01,2004-03-14,4,3,4
RESP-000286,3857,2004-H1,2004-03-01,2004-03-07,4,3,4
RESP-000287,1083,2004-H1,2004-03-01,2004-03-10,5,5,4
RESP-000288,1819,2004-H1,2004-03-01,2004-03-05,4,4,4
RESP-000289,1528,2004-H1,2004-03-01,2004-03-09,4,4,4
RESP-000290,1058,2004-H1,2004-03-01,2004-03-11,4,4,4
RESP-000291,3757,2004-H1,2004-03-01,2004-03-09,4,3,3
RESP-000292,3843,2004-H1,2004-03-01,2004-03-05,5,5,4
RESP-000293,2124,2004-H1,2004-03-01,2004-03-12,4,3,3
RESP-000294,3566,2004-H1,2004-03-01,2004-03-12,4,5,4
RESP-000295,1332,2004-H1,2004-03-01,2004-03-08,5,4,4
RESP-000296,1656,2004-H1,2004-03-01,2004-03-01,4,4,4
RESP-000297,1143,2004-H1,2004-03-01,2004-03-03,4,5,4
RESP-000298,3615,2004-H1,2004-03-01,2004-03-11,4,4,4
RESP-000299,3532,2004-H1,2004-03-01,2004-03-08,4,5,3
RESP-000300,3793,2004-H1,2004-03-01,2004-03-13,4,4,4
RESP-000301,2729,2004-H1,2004-03-01,2004-03-09,4,4,4
RESP-000302,3033,2004-H1,2004-03-01,2004-03-12,4,5,4
RESP-000303,3082,2004-H1,2004-03-01,2004-03-02,4,4,4
RESP-000304,2766,2004-H1,2004-03-01,2004-03-02,4,4,5
RESP-000305,3325,2004-H1,2004-03-01,2004-03-05,3,3,4
RESP-000306,3083,2004-H1,2004-03-01,2004-03-01,4,4,3
RESP-000307,2571,2004-H1,2004-03-01,2004-03-04,4,5,5
RESP-000308,3309,2004-H1,2004-03-01,2004-03-06,4,4,4
RESP-000309,2277,2004-H1,2004-03-01,2004-03-10,4,4,3
RESP-000310,2527,2004-H1,2004-03-01,2004-03-10,4,4,4
RESP-000311,2987,2004-H1,2004-03-01,2004-03-06,5,5,4
RESP-000312,3060,2004-H1,2004-03-01,2004-03-04,4,4,4
RESP-000313,3986,2004-H1,2004-03-01,2004-03-05,4,4,4
RESP-000314,2251,2004-H1,2004-03-01,2004-03-11,4,4,5
RESP-000315,1863,2004-H1,2004-03-01,2004-03-05,4,4,3
RESP-000316,2809,2004-H1,2004-03-01,2004-03-10,5,5,4
RESP-000317,3855,2004-H1,2004-03-01,2004-03-02,3,4,4
RESP-000318,2908,2004-H1,2004-03-01,2004-03-09,5,4,3
RESP-000319,1357,2004-H1,2004-03-01,2004-03-03,3,3,3
RESP-000320,2238,2004-H1,2004-03-01,2004-03-12,4,4,5
RESP-000321,1937,2004-H1,2004-03-01,2004-03-07,4,4,3
RESP-000322,3290,2004-H1,2004-03-01,2004-03-14,4,4,4
RESP-000323,1462,2004-H1,2004-03-01,2004-03-03,4,4,4
RESP-000324,1404,2004-H1,2004-03-01,2004-03-03,5,4,4
RESP-000325,1247,2004-H1,2004-03-01,2004-03-08,5,5,4
RESP-000326,2968,2004-H1,2004-03-01,2004-03-01,4,5,4
RESP-000327,2826,2004-H1,2004-03-01,2004-03-11,5,4,2
RESP-000328,3373,2004-H1,2004-03-01,2004-03-05,3,4,4
RESP-000329,3056,2004-H1,2004-03-01,2004-03-04,4,4,3
RESP-000330,1594,2004-H1,2004-03-01,2004-03-04,5,5,4
RESP-000331,1771,2004-H1,2004-03-01,2004-03-14,4,4,3
RESP-000332,2506,2004-H1,2004-03-01,2004-03-03,3,4,4
RESP-000333,2309,2004-H1,2004-03-01,2004-03-02,5,5,3
RESP-000334,1397,2004-H1,2004-03-01,2004-03-05,3,3,4
RESP-000335,1306,2004-H1,2004-03-01,2004-03-08,4,5,4
RESP-000336,2801,2004-H1,2004-03-01,2004-03-05,4,4,3
RESP-000337,2335,2004-H2,2004-09-01,2004-09-10,4,4,4
RESP-000338,2804,2004-H2,2004-09-01,2004-09-04,4,4,3
RESP-000339,2386,2004-H2,2004-09-01,2004-09-10,3,4,3
RESP-000340,2886,2004-H2,2004-09-01,2004-09-07,5,3,4
RESP-000341,2440,2004-H2,2004-09-01,2004-09-10,4,5,4
RESP-000342,1328,2004-H2,2004-09-01,2004-09-04,4,4,3
RESP-000343,2677,2004-H2,2004-09-01,2004-09-01,4,4,4
RESP-000344,1031,2004-H2,2004-09-01,2004-09-09,5,4,4
RESP-000345,2571,2004-H2,2004-09-01,2004-09-01,4,4,4
RESP-000346,3082,2004-H2,2004-09-01,2004-09-04,3,4,4
RESP-000347,1792,2004-H2,2004-09-01,2004-09-09,4,4,4
RESP-000348,1604,2004-H2,2004-09-01,2004-09-01,4,4,4
RESP-000349,2309,2004-H2,2004-09-01,2004-09-13,4,4,3
RESP-000350,3368,2004-H2,2004-09-01,2004-09-08,5,5,4
RESP-000351,3259,2004-H2,2004-09-01,2004-09-02,4,3,4
RESP-000352,2949,2004-H2,2004-09-01,2004-09-11,4,4,3
RESP-000353,3670,2004-H2,2004-09-01,2004-09-06,4,3,3
RESP-000354,2271,2004-H2,2004-09-01,2004-09-05,4,3,3
RESP-000355,1306,2004-H2,2004-09-01,2004-09-08,4,4,4
RESP-000356,2836,2004-H2,2004-09-01,2004-09-08,4,4,4
RESP-000357,3822,2004-H2,2004-09-01,2004-09-10,4,4,3
RESP-000358,3824,2004-H2,2004-09-01,2004-09-08,4,4,4
RESP-000359,1689,2004-H2,2004-09-01,2004-09-01,4,4,3
RESP-000360,3647,2004-H2,2004-09-01,2004-09-02,5,4,4
RESP-000361,3983,2004-H2,2004-09-01,2004-09-04,4,4,3
RESP-000362,3362,2004-H2,2004-09-01,2004-09-12,4,3,2
RESP-000363,2947,2004-H2,2004-09-01,2004-09-01,5,4,4
RESP-000364,1582,2004-H2,2004-09-01,2004-09-10,4,3,3
RESP-000365,3956,2004-H2,2004-09-01,2004-09-12,4,4,4
RESP-000366,1143,2004-H2,2004-09-01,2004-09-13,4,4,4
RESP-000367,1981,2004-H2,2004-09-01,2004-09-12,4,4,3
RESP-000368,2498,2004-H2,2004-09-01,2004-09-11,3,4,4
RESP-000369,3290,2004-H2,2004-09-01,2004-09-10,4,4,3
RESP-000370,2527,2004-H2,2004-09-01,2004-09-04,4,4,4
RESP-000371,1197,2004-H2,2004-09-01,2004-09-11,4,3,3
RESP-000372,1771,2004-H2,2004-09-01,2004-09-09,4,4,3
RESP-000373,3309,2004-H2,2004-09-01,2004-09-04,4,4,3
RESP-000374,1819,2004-H2,2004-09-01,2004-09-01,4,4,4
RESP-000375,1562,2004-H2,2004-09-01,2004-09-01,4,3,4
RESP-000376,2785,2004-H2,2004-09-01,2004-09-06,4,4,4
RESP-000377,1058,2004-H2,2004-09-01,2004-09-05,4,4,3
RESP-000378,2406,2004-H2,2004-09-01,2004-09-03,4,3,4
RESP-000379,1647,2004-H2,2004-09-01,2004-09-02,4,4,4
RESP-000380,3599,2004-H2,2004-09-01,2004-09-12,4,4,3
RESP-000381,2238,2004-H2,2004-09-01,2004-09-12,4,4,4
RESP-000382,1937,2004-H2,2004-09-01,2004-09-02,3,3,3
RESP-000383,1524,2004-H2,2004-09-01,2004-09-13,4,3,4
RESP-000384,3986,2004-H2,2004-09-01,2004-09-14,4,4,4
RESP-000385,3660,2004-H2,2004-09-01,2004-09-08,4,5,4
